"GRANT NUMBER","BUDGET ENTITY","HEAD OF ACCOUNT","HEAD DESCRIPTION","HEAD DESCRIPTION ASSAMESE","Major Head","Sub-Major Head","Minor Head","Sub-Minor Head","Detailed Head","Object Head","Voucher Head","Scheme","Area","Voted_Charged","Actuals_2016_17","Budget_Estimates_2017_18","Revised_Estimates_2017_18","Budget_Estimates_2018_19"
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0168-000-03-01-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Pleader$NULL$Travel Expenses$Regular","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$ ভ্ৰমণ খৰচ$","Administration of Justice","NULL","Legal Advisers and Counsels","Government Pleader","NULL","Travel Expenses","Regular","Establishmet Expenditure","General Area","Voted",0,0,0,3.3
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0168-000-03-01-EE-NN-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Pleader$NULL$Travel Expenses$Regular","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$ ভ্ৰমণ খৰচ$","Administration of Justice","NULL","Legal Advisers and Counsels","Government Pleader","NULL","Travel Expenses","Regular","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,0,0,0.9
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0219-000-03-01-EE-NN-V","Administration of Justice$NULL$Legal Advisers and Counsels$Public  Prosecutor.$NULL$Travel Expenses$Regular","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$ ভ্ৰমণ খৰচ$","Administration of Justice","NULL","Legal Advisers and Counsels","Public  Prosecutor.","NULL","Travel Expenses","Regular","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,0,0,0.6
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0219-000-03-01-EE-KN-V","Administration of Justice$NULL$Legal Advisers and Counsels$Public  Prosecutor.$NULL$Travel Expenses$Regular","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$ ভ্ৰমণ খৰচ$","Administration of Justice","NULL","Legal Advisers and Counsels","Public  Prosecutor.","NULL","Travel Expenses","Regular","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,0,0,0.35
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0168-000-03-01-EE-KN-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Pleader$NULL$Travel Expenses$Regular","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$ ভ্ৰমণ খৰচ$","Administration of Justice","NULL","Legal Advisers and Counsels","Government Pleader","NULL","Travel Expenses","Regular","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,0,0,1.6
"3 - Administration of justice","Judicial Department (D)","4059-01-101-4153-456-13-99-SOPD-G-GA-V","Capital Outlay on Public Works$Office Buildings$Construction - General Pool Accommodation$Judicial Department$Construction of Auditorium of Guwahati High Court $Major Works$Others","গড়কাপ্তানী বিভাগৰ বাবে মূলধনী বয়$কাৰ্যালয় গৃহ$নিৰ্মাণ - সাধাৰণ পুঁজিৰ ব্যৱস্থা$$$প্ৰধান কামসমূহ$অন্যান্য","Capital Outlay on Public Works","Office Buildings","Construction - General Pool Accommodation","Judicial Department","Construction of Auditorium of Guwahati High Court ","Major Works","Others","State Own Priority Scheme-General","General Area","Voted",0,0,0,300
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0185-000-01-01-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Legal aid to the Poor$NULL$Salaries$Pay","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$দৰমহা","Administration of Justice","NULL","Other Expenditure","Legal aid to the Poor","NULL","Salaries","Pay","Establishmet Expenditure","General Area","Voted",527.66,396.76965,401.76965,658
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0185-000-01-02-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Legal aid to the Poor$NULL$Salaries$Dearness Allowance","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$মৰগীয়া বানচ","Administration of Justice","NULL","Other Expenditure","Legal aid to the Poor","NULL","Salaries","Dearness Allowance","Establishmet Expenditure","General Area","Voted",0,521.4433,521.4433,179.3
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0185-000-03-00-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Legal aid to the Poor$NULL$Travel Expenses$NULL","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$ ভ্ৰমণ খৰচ$NULL","Administration of Justice","NULL","Other Expenditure","Legal aid to the Poor","NULL","Travel Expenses","NULL","Establishmet Expenditure","General Area","Voted",0,5.5,11.2,0
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0185-000-04-99-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Legal aid to the Poor$NULL$Office Expenses$Others","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$কাৰ্য্যালয় ব্যয়$অন্যান্য","Administration of Justice","NULL","Other Expenditure","Legal aid to the Poor","NULL","Office Expenses","Others","Establishmet Expenditure","General Area","Voted",0,0,4,4
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0311-000-01-01-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Law Commission$NULL$Salaries$Pay","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$দৰমহা","Administration of Justice","NULL","Other Expenditure","Law Commission","NULL","Salaries","Pay","Establishmet Expenditure","General Area","Voted",20.85,10,10,15
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0311-000-01-02-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Law Commission$NULL$Salaries$Dearness Allowance","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$মৰগীয়া বানচ","Administration of Justice","NULL","Other Expenditure","Law Commission","NULL","Salaries","Dearness Allowance","Establishmet Expenditure","General Area","Voted",0,15,15,5
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0311-000-01-08-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Law Commission$NULL$Salaries$Medical Reimbursement","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$চিকিৎসাজনিত ব্যয় পৰিশোধ","Administration of Justice","NULL","Other Expenditure","Law Commission","NULL","Salaries","Medical Reimbursement","Establishmet Expenditure","General Area","Voted",0,1,1,1.1
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0311-000-01-09-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Law Commission$NULL$Salaries$Honorarium","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$পাৰিতোষিক","Administration of Justice","NULL","Other Expenditure","Law Commission","NULL","Salaries","Honorarium","Establishmet Expenditure","General Area","Voted",0,1.2,1.2,1.2
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0311-000-03-00-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Law Commission$NULL$Travel Expenses$NULL","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$ ভ্ৰমণ খৰচ$NULL","Administration of Justice","NULL","Other Expenditure","Law Commission","NULL","Travel Expenses","NULL","Establishmet Expenditure","General Area","Voted",0.08,0.15,0.15,0
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0311-000-04-99-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Law Commission$NULL$Office Expenses$Others","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$কাৰ্য্যালয় ব্যয়$অন্যান্য","Administration of Justice","NULL","Other Expenditure","Law Commission","NULL","Office Expenses","Others","Establishmet Expenditure","General Area","Voted",0,0.5,0.5,0
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0312-000-01-02-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Translation of Central Laws$NULL$Salaries$Dearness Allowance","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$মৰগীয়া বানচ","Administration of Justice","NULL","Other Expenditure","Translation of Central Laws","NULL","Salaries","Dearness Allowance","Establishmet Expenditure","General Area","Voted",0,102.09,102.09,20
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0312-000-03-00-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Translation of Central Laws$NULL$Travel Expenses$NULL","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$ ভ্ৰমণ খৰচ$NULL","Administration of Justice","NULL","Other Expenditure","Translation of Central Laws","NULL","Travel Expenses","NULL","Establishmet Expenditure","General Area","Voted",0,0.5,0.5,0
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0185-000-01-05-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Legal aid to the Poor$NULL$Salaries$Leave Travel Concession","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$ছুটী কালীন ভ্ৰমণ ৰেহাই","Administration of Justice","NULL","Other Expenditure","Legal aid to the Poor","NULL","Salaries","Leave Travel Concession","Establishmet Expenditure","General Area","Voted",0,11,12,33.3
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0185-000-01-06-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Legal aid to the Poor$NULL$Salaries$Medical Allowance","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$চিকিৎসা ভাত্তা","Administration of Justice","NULL","Other Expenditure","Legal aid to the Poor","NULL","Salaries","Medical Allowance","Establishmet Expenditure","General Area","Voted",0,9.5,11.43,19.478
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0185-000-01-07-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Legal aid to the Poor$NULL$Salaries$House Rent Allowance","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$ঘৰ ভাড়া ভাত্তা","Administration of Justice","NULL","Other Expenditure","Legal aid to the Poor","NULL","Salaries","House Rent Allowance","Establishmet Expenditure","General Area","Voted",0,51,51,46.9015
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0185-000-01-08-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Legal aid to the Poor$NULL$Salaries$Medical Reimbursement","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$চিকিৎসাজনিত ব্যয় পৰিশোধ","Administration of Justice","NULL","Other Expenditure","Legal aid to the Poor","NULL","Salaries","Medical Reimbursement","Establishmet Expenditure","General Area","Voted",0,19.5,19.5,27.7
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0312-000-01-01-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Translation of Central Laws$NULL$Salaries$Pay","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$দৰমহা","Administration of Justice","NULL","Other Expenditure","Translation of Central Laws","NULL","Salaries","Pay","Establishmet Expenditure","General Area","Voted",65.99,41.66,41.66,50
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0312-000-01-05-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Translation of Central Laws$NULL$Salaries$Leave Travel Concession","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$ছুটী কালীন ভ্ৰমণ ৰেহাই","Administration of Justice","NULL","Other Expenditure","Translation of Central Laws","NULL","Salaries","Leave Travel Concession","Establishmet Expenditure","General Area","Voted",0,0,0,0.5
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0312-000-01-06-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Translation of Central Laws$NULL$Salaries$Medical Allowance","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$চিকিৎসা ভাত্তা","Administration of Justice","NULL","Other Expenditure","Translation of Central Laws","NULL","Salaries","Medical Allowance","Establishmet Expenditure","General Area","Voted",0,1.3,1.3,1.3
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0312-000-01-07-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Translation of Central Laws$NULL$Salaries$House Rent Allowance","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$ঘৰ ভাড়া ভাত্তা","Administration of Justice","NULL","Other Expenditure","Translation of Central Laws","NULL","Salaries","House Rent Allowance","Establishmet Expenditure","General Area","Voted",0,6,6,6.06
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0312-000-01-08-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Translation of Central Laws$NULL$Salaries$Medical Reimbursement","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$চিকিৎসাজনিত ব্যয় পৰিশোধ","Administration of Justice","NULL","Other Expenditure","Translation of Central Laws","NULL","Salaries","Medical Reimbursement","Establishmet Expenditure","General Area","Voted",0,3,3,3
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0312-000-04-99-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Translation of Central Laws$NULL$Office Expenses$Others","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$কাৰ্য্যালয় ব্যয়$অন্যান্য","Administration of Justice","NULL","Other Expenditure","Translation of Central Laws","NULL","Office Expenses","Others","Establishmet Expenditure","General Area","Voted",0,0.5,0.58797,1
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0311-000-01-05-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Law Commission$NULL$Salaries$Leave Travel Concession","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$ছুটী কালীন ভ্ৰমণ ৰেহাই","Administration of Justice","NULL","Other Expenditure","Law Commission","NULL","Salaries","Leave Travel Concession","Establishmet Expenditure","General Area","Voted",0,0.5,0.5,0.5
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0311-000-01-06-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Law Commission$NULL$Salaries$Medical Allowance","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$চিকিৎসা ভাত্তা","Administration of Justice","NULL","Other Expenditure","Law Commission","NULL","Salaries","Medical Allowance","Establishmet Expenditure","General Area","Voted",0,1,1,1
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0311-000-01-07-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Law Commission$NULL$Salaries$House Rent Allowance","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$ঘৰ ভাড়া ভাত্তা","Administration of Justice","NULL","Other Expenditure","Law Commission","NULL","Salaries","House Rent Allowance","Establishmet Expenditure","General Area","Voted",0,0.5,0.5,0.55
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0311-000-01-16-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Law Commission$NULL$Salaries$Fixed Pay","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$নিৰ্দ্ধাৰিত দৰমহা","Administration of Justice","NULL","Other Expenditure","Law Commission","NULL","Salaries","Fixed Pay","Establishmet Expenditure","General Area","Voted",0,0,1.5,1.5
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0185-000-02-99-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Legal aid to the Poor$NULL$Wages$Others","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$মজুৰি$অন্যান্য","Administration of Justice","NULL","Other Expenditure","Legal aid to the Poor","NULL","Wages","Others","Establishmet Expenditure","General Area","Voted",1.15,5.5,5.5,10
"3 - Administration of justice","Legislative Department (D)","2014-00-800-1758-000-05-99-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Legal aid to the accused under section 304 Cr. P.C.$Payment of Defence pleaders and Amicus Curiae fee bills$Payment for Professional and Special Services$Others","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$$NULL$বৃত্তিগত আৰু বিশেষ সেৱাসমূহৰ বাবে পৰিশোধ$অন্যান্য","Administration of Justice","NULL","Other Expenditure","Legal aid to the accused under section 304 Cr. P.C.","Payment of Defence pleaders and Amicus Curiae fee bills","Payment for Professional and Special Services","Others","Establishmet Expenditure","General Area","Voted",13.39,50,50,55
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0185-000-05-02-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Legal aid to the Poor$NULL$Payment for Professional and Special Services$Legal Service","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$বৃত্তিগত আৰু বিশেষ সেৱাসমূহৰ বাবে পৰিশোধ$আইন সেৱা","Administration of Justice","NULL","Other Expenditure","Legal aid to the Poor","NULL","Payment for Professional and Special Services","Legal Service","Establishmet Expenditure","General Area","Voted",4.54,22.27,22.27,25
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0185-000-01-12-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Legal aid to the Poor$NULL$Salaries$Arrear Salary/DA","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$বকেয়া দৰমহা /মৰগীয়া বানচ","Administration of Justice","NULL","Other Expenditure","Legal aid to the Poor","NULL","Salaries","Arrear Salary/DA","Establishmet Expenditure","General Area","Voted",0,0.1,0.99,23.71
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0185-000-04-04-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Legal aid to the Poor$NULL$Office Expenses$Office Equipments including Computers & Accessories","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$কাৰ্য্যালয় ব্যয়$কম্পিউটাৰ আৰু সা-সঁজুলিকে ধৰি কাৰ্যালয়ৰ সঁজুলি","Administration of Justice","NULL","Other Expenditure","Legal aid to the Poor","NULL","Office Expenses","Office Equipments including Computers & Accessories","Establishmet Expenditure","General Area","Voted",0,2,2,3
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0185-000-19-99-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Legal aid to the Poor$NULL$Materials & Supplies$Others","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$সামগ্ৰী আৰু যোগান$অন্যান্য","Administration of Justice","NULL","Other Expenditure","Legal aid to the Poor","NULL","Materials & Supplies","Others","Establishmet Expenditure","General Area","Voted",0,0.5,0.5,1
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0311-000-02-06-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Law Commission$NULL$Wages$Part Time Sweeper","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$মজুৰি$অংশকালীন চাফাই কৰ্মী","Administration of Justice","NULL","Other Expenditure","Law Commission","NULL","Wages","Part Time Sweeper","Establishmet Expenditure","General Area","Voted",0,0.3,0.3,0.6
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0311-000-04-03-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Law Commission$NULL$Office Expenses$Electricity and Water Charge","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$কাৰ্য্যালয় ব্যয়$বিদ্যুৎ আৰু পানীৰ মাচুল","Administration of Justice","NULL","Other Expenditure","Law Commission","NULL","Office Expenses","Electricity and Water Charge","Establishmet Expenditure","General Area","Voted",0,0.5,0.5,0.5
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0311-000-04-04-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Law Commission$NULL$Office Expenses$Office Equipments including Computers & Accessories","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$কাৰ্য্যালয় ব্যয়$কম্পিউটাৰ আৰু সা-সঁজুলিকে ধৰি কাৰ্যালয়ৰ সঁজুলি","Administration of Justice","NULL","Other Expenditure","Law Commission","NULL","Office Expenses","Office Equipments including Computers & Accessories","Establishmet Expenditure","General Area","Voted",0,1,1,1
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0312-000-01-09-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Translation of Central Laws$NULL$Salaries$Honorarium","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$পাৰিতোষিক","Administration of Justice","NULL","Other Expenditure","Translation of Central Laws","NULL","Salaries","Honorarium","Establishmet Expenditure","General Area","Voted",0,0.66,0.66,0.6
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0312-000-04-01-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Translation of Central Laws$NULL$Office Expenses$Postage Stamp","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$কাৰ্য্যালয় ব্যয়$ডাক টিকট","Administration of Justice","NULL","Other Expenditure","Translation of Central Laws","NULL","Office Expenses","Postage Stamp","Establishmet Expenditure","General Area","Voted",0,0.2,0.2,0.2
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0312-000-04-05-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Translation of Central Laws$NULL$Office Expenses$Stationery and Printing of Forms","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$কাৰ্য্যালয় ব্যয়$লেখন সামগ্ৰী আৰু প্ৰপত্ৰৰ মুদ্ৰণ","Administration of Justice","NULL","Other Expenditure","Translation of Central Laws","NULL","Office Expenses","Stationery and Printing of Forms","Establishmet Expenditure","General Area","Voted",0,0.7,0.7,0.75
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0312-000-04-06-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Translation of Central Laws$NULL$Office Expenses$Furniture","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$কাৰ্য্যালয় ব্যয়$আচ-বাব","Administration of Justice","NULL","Other Expenditure","Translation of Central Laws","NULL","Office Expenses","Furniture","Establishmet Expenditure","General Area","Voted",0,2,2,0.5
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0185-000-26-03-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Legal aid to the Poor$NULL$Other Charges$Training","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$অন্যান্য মাচুল$প্ৰশিক্ষণ","Administration of Justice","NULL","Other Expenditure","Legal aid to the Poor","NULL","Other Charges","Training","Establishmet Expenditure","General Area","Voted",0,2.2,2.2,2.2
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0311-000-26-03-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Law Commission$NULL$Other Charges$Training","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$অন্যান্য মাচুল$প্ৰশিক্ষণ","Administration of Justice","NULL","Other Expenditure","Law Commission","NULL","Other Charges","Training","Establishmet Expenditure","General Area","Voted",0,0.13,0.13,0.13
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0311-000-14-00-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Law Commission$NULL$Minor Works$NULL","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$সৰু-সুৰা কামসমূহ$NULL","Administration of Justice","NULL","Other Expenditure","Law Commission","NULL","Minor Works","NULL","Establishmet Expenditure","General Area","Voted",0,3.5,3.5,0
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0312-000-26-03-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Translation of Central Laws$NULL$Other Charges$Training","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$অন্যান্য মাচুল$প্ৰশিক্ষণ","Administration of Justice","NULL","Other Expenditure","Translation of Central Laws","NULL","Other Charges","Training","Establishmet Expenditure","General Area","Voted",0,0.1,0.1,0.1
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0185-000-01-03-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Legal aid to the Poor$NULL$Salaries$Interim Relief","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$অন্তৱৰ্তীকালীন সাহায্য","Administration of Justice","NULL","Other Expenditure","Legal aid to the Poor","NULL","Salaries","Interim Relief","Establishmet Expenditure","General Area","Voted",0,0,0,2
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0185-000-01-04-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Legal aid to the Poor$NULL$Salaries$Other Allowance","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$অন্যান্য অধিেদয় ভাত্তা","Administration of Justice","NULL","Other Expenditure","Legal aid to the Poor","NULL","Salaries","Other Allowance","Establishmet Expenditure","General Area","Voted",0,9.8406,9.8406,13.82
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0185-000-01-09-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Legal aid to the Poor$NULL$Salaries$Honorarium","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$পাৰিতোষিক","Administration of Justice","NULL","Other Expenditure","Legal aid to the Poor","NULL","Salaries","Honorarium","Establishmet Expenditure","General Area","Voted",0,2,2,0
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0185-000-01-13-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Legal aid to the Poor$NULL$Salaries$Pay Revision Arrear","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$সংশোধিত দৰমহাৰ বকেয়া","Administration of Justice","NULL","Other Expenditure","Legal aid to the Poor","NULL","Salaries","Pay Revision Arrear","Establishmet Expenditure","General Area","Voted",0,0.1,0.1,0
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0185-000-01-17-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Legal aid to the Poor$NULL$Salaries$Grade Pay","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$দৰমহা$পৰ্যায় সমন্ধীয় দৰমহা, গ্ৰেড পে","Administration of Justice","NULL","Other Expenditure","Legal aid to the Poor","NULL","Salaries","Grade Pay","Establishmet Expenditure","General Area","Voted",0,0,0,23.7
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0185-000-04-01-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Legal aid to the Poor$NULL$Office Expenses$Postage Stamp","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$কাৰ্য্যালয় ব্যয়$ডাক টিকট","Administration of Justice","NULL","Other Expenditure","Legal aid to the Poor","NULL","Office Expenses","Postage Stamp","Establishmet Expenditure","General Area","Voted",38.48,0.3,0.3,0.5
"3 - Administration of justice","Legislative Department (D)","2014-00-800-0185-000-04-02-EE-GA-V","Administration of Justice$NULL$Other Expenditure$Legal aid to the Poor$NULL$Office Expenses$Telephone Charge","ন্যায় প্ৰশাসন$NULL$অন্যান্য ব্যয়$NULL$NULL$কাৰ্য্যালয় ব্যয়$টেলিফোন মাচুল","Administration of Justice","NULL","Other Expenditure","Legal aid to the Poor","NULL","Office Expenses","Telephone Charge","Establishmet Expenditure","General Area","Voted",0,0.35,0.35,2
